,Country,Lat,Long,Confirmed
0,Thailand,15.0,101.0,70
1,Japan,36.0,138.0,639
2,Singapore,1.2833,103.8333,178
3,Nepal,28.1667,84.25,1
4,Malaysia,2.5,112.5,149
5,Canada,49.2827,-123.1207,46
6,Australia,-33.8688,151.2093,65
7,Australia,-37.8136,144.9631,21
8,Australia,-28.0167,153.4,20
9,Cambodia,11.55,104.9167,3
10,Sri Lanka,7.0,81.0,2
11,Germany,51.0,9.0,2078
12,Finland,64.0,26.0,59
13,United Arab Emirates,24.0,54.0,85
14,Philippines,13.0,122.0,52
15,India,21.0,78.0,73
16,Italy,43.0,12.0,12462
17,Sweden,63.0,16.0,599
18,Spain,40.0,-4.0,2277
19,Australia,-34.9285,138.6007,9
20,Belgium,50.8333,4.0,314
21,Egypt,26.0,30.0,67
22,Australia,35.4437,139.638,0
23,Lebanon,33.8547,35.8623,61
24,Iraq,33.0,44.0,71
25,Oman,21.0,57.0,18
26,Afghanistan,33.0,65.0,7
27,Bahrain,26.0275,50.55,195
28,Kuwait,29.5,47.75,80
29,Algeria,28.0339,1.6596,24
30,Croatia,45.1,15.2,19
31,Switzerland,46.8182,8.2275,652
32,Austria,47.5162,14.5501,302
33,Israel,31.0,35.0,131
34,Pakistan,30.3753,69.3451,20
35,Brazil,-14.235,-51.9253,52
36,Georgia,42.3154,43.3569,24
37,Greece,39.0742,21.8243,99
38,North Macedonia,41.6086,21.7453,7
39,Norway,60.472,8.4689,702
40,Romania,45.9432,24.9668,49
41,Estonia,58.5953,25.0136,16
42,Netherlands,52.1326,5.2913,503
43,San Marino,43.9424,12.4578,69
44,Belarus,53.7098,27.9534,12
45,Iceland,64.9631,-19.0208,103
46,Lithuania,55.1694,23.8813,3
47,Mexico,23.6345,-102.5528,12
48,New Zealand,-40.9006,174.886,5
49,Nigeria,9.082,8.6753,2
50,Australia,-31.9505,115.8605,9
51,Ireland,53.1424,-7.6921,43
52,Luxembourg,49.8153,6.1296,19
53,Monaco,43.7333,7.4167,2
54,Qatar,25.3548,51.1839,262
55,Ecuador,-1.8312,-78.1834,17
56,Azerbaijan,40.1431,47.5769,11
57,Armenia,40.0691,45.0382,4
58,Dominican Republic,18.7357,-70.1627,5
59,Indonesia,-0.7893,113.9213,34
60,Portugal,39.3999,-8.2245,59
61,Andorra,42.5063,1.5218,1
62,Australia,-41.4545,145.9707,3
63,Latvia,56.8796,24.6032,10
64,Morocco,31.7917,-7.0926,6
65,Saudi Arabia,24.0,45.0,45
66,Senegal,14.4974,-14.4524,4
67,Argentina,-38.4161,-63.6167,19
68,Chile,-35.6751,-71.543,23
69,Jordan,31.24,36.51,1
70,Ukraine,48.3794,31.1656,1
71,Hungary,47.1625,19.5033,13
72,Australia,-12.4634,130.8456,1
73,Liechtenstein,47.14,9.55,1
74,Poland,51.9194,19.1451,49
75,Tunisia,34.0,9.0,7
76,Bosnia and Herzegovina,43.9159,17.6791,11
